"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","respid","race","democrat","republican","states","forborn","citizen"
"1",0,0.560975609756098,0.6,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,1,0.75,0.75,"0800000443","AAPI","0","0","HI","0","1"
"2",0,0.341463414634146,0.4,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,1,NA,1,0.75,1,0,0.75,"0650000095","AAPI","1","0","CA","0","1"
"3",1,0.463414634146341,0.4,1,0.833333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0.25,0,0.5,0.5,0,"0600000519","AAPI","0","0","HI","0","1"
"4",1,NA,1,NA,NA,0,0,NA,0,0,0,1,0,NA,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,0.5,0,1,1,1,1,"0850000172","AAPI","0","0","HI","0","1"
"5",0,0.621951219512195,1,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.75,0.75,1,1,0.25,0.75,"0600000539","AAPI","1","0","HI","0","1"
"6",1,0.74390243902439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,1,1,0,1,1,0.25,0,0,"0800000553","AAPI","0","1","HI","1","1"
"7",0,0.51219512195122,0.8,1,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.75,NA,1,1,0.25,0.75,"0800000709","AAPI","1","0","HI","0","1"
"8",0,0.597560975609756,0.8,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,1,1,0.75,0,0.75,"0800000362","AAPI","0","0","HI","0","1"
"9",0,NA,0.4,NA,NA,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,1,0,0.75,1,0.75,1,0,0.75,"0800000289","AAPI","0","0","HI","0","1"
"10",1,0.658536585365854,0.4,1,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75,1,0.75,0.75,0,0.5,"0600000427","AAPI","1","0","HI","0","1"
